title,year,runtime_minutes,genres,average_rating,num_votes
Money Monster,2016,98,"Action,Crime,Drama",6.5,107410
Monsters Wanted,2013,89,Documentary,6.3,166
Frankenstein's Patchwork Monster,2015,100,Horror,8.8,16
Mighty Mighty Monsters in Halloween Havoc,2013,44,"Animation,Horror",7,49
Hermit: Monster Killer,2016,90,"Adventure,Comedy,Horror",6.1,67
How to Kill Monsters,2023,95,"Action,Comedy,Horror",7.2,89
Your Monster,2024,98,"Comedy,Horror,Romance",7,679
Mommy's Little Monster,2012,100,Drama,5.2,80
Loch Ness Monster of Seattle,2022,62,Mystery,5.6,21
Black River Monster,1986,NA,"Family,Horror",3.4,42
Monster High 2,2023,93,"Action,Adventure,Fantasy",5.5,1133
There Is a Monster,2024,82,"Drama,Horror,Thriller",3.9,150
Attack of the Morningside Monster,2014,93,"Horror,Mystery,Thriller",4.6,231
Monster Grizzly,2023,NA,Horror,3,150
Closet Monster,2023,60,Horror,6.9,28
Girl Vs. Monster,2012,89,"Action,Adventure,Comedy",5.3,3898
Behind the Scenes of 'Monsters',2011,55,Documentary,7.8,10
The Many Monsters of Sadness,2012,90,Drama,7.4,32
Titanoboa: Monster Snake,2012,93,Documentary,6.7,323
The Sea Monster,2023,75,Action,6.6,10
Power Rangers Monster Bash Halloween Special,2012,65,"Action,Adventure,Fantasy",3.7,36
Monster,2023,127,"Drama,Thriller",7.8,29306
Monsters on Main Street,2014,NA,"Comedy,Horror",4.4,31
Monster Pies,2013,85,"Drama,Romance",6.7,3222
Monster High: Escape from Skull Shores,2012,46,Animation,6.7,887
Love in the Time of Monsters,2014,97,"Comedy,Horror",5.1,241
Seattle's Loch Ness: The Lake Washington Sea Monster,2012,65,Mystery,6.5,25
Monsternado,2023,81,"Action,Horror",2.6,405
I Heart Monster Movies,2012,75,"Documentary,Horror",5.7,49
Monster High: Ghouls Rule!,2012,71,"Animation,Family",6.1,1218
Beast: A Monster Among Men,2013,72,"Drama,Horror,Thriller",2.9,131
Plastic: The Real Sea Monster,2013,52,Documentary,7.7,32
Monster High: Fright On,2011,46,"Animation,Comedy,Family",6.9,727
Friendly Monsters: A Monster Easter,1994,26,"Animation,Family,Short",6.2,10
Teenape Vs. The Monster Nazi Apocalypse,2009,78,Comedy,5.2,81
Monsterman,2014,85,"Biography,Documentary,Drama",6.3,275
Monster,2013,114,Drama,3.8,22
Loch Ness: They Created A Monster,2023,91,Documentary,6.8,49
Monster on a Plane,2024,88,"Comedy,Horror",6.2,245
The Anatomy of Monsters,2014,97,"Drama,Thriller",6.3,62
"Legend of the Goatman: Horrifying Monsters, Cryptids and Ghosts",2013,70,Documentary,3.7,33
Monster Squid: The Giant Is Real,2013,NA,Documentary,7.3,14
Lumberjack the Monster,2023,119,"Crime,Thriller",5.9,1221
Monster im Kopf,2023,94,Drama,7.1,30
Whitey Bulger: The Making of a Monster,2013,NA,Documentary,7.8,12
Friendly Monsters: A Monster Christmas,1994,26,"Animation,Family,Short",6.9,22
Monster Croc Hunt,2013,NA,Documentary,6,16
Monster,2018,98,"Crime,Drama",6.5,6765
I Am Monsters!,2023,72,"Documentary,Horror",6.5,14
Monster Inside: America's Most Extreme Haunted House,2023,87,"Crime,Documentary,Horror",5.4,1607
Hanna and the Monsters,2023,80,"Adventure,Animation",6.4,55
Monster's Battlefield,2021,NA,Action,3.3,14
Scariest Monsters in the World,2023,NA,Documentary,5.9,32
Monster Party,2013,7,"Comedy,Short",6.9,16
Frankenstein's Monster,2014,86,"Drama,History,Sci-Fi",3.6,28
Bela: Humanoid Monster,2020,90,"Fantasy,Horror",4.9,11
Hwayi: A Monster Boy,2013,126,"Action,Crime,Thriller",7,5577
There Are Monsters,2013,90,Horror,5.3,462
Monsters of God,2017,60,"Action,Adventure,War",5.2,32
Monster,2023,86,"Horror,Mystery,Thriller",4.6,1472
Elda and the Monsters,2023,73,"Documentary,Drama,Music",8.4,11
Piet Piraat en het zeemonster,2013,85,"Adventure,Family",6.5,47
Monsters,2022,86,Horror,3.2,15
Bigfoot: Grip of the Monster,2023,NA,Mystery,3.9,38
Monster Mash,2024,85,Horror,3.5,335
Monsters: 103 Mercies Dragon Damnation,2024,25,"Action,Adventure,Animation",7.7,2189
Mighty Mighty Monsters in Pranks for the Memories,2015,45,Animation,5.9,20
Militant Monster 2024,2024,NA,Adventure,8.8,27
Monster Trucks,2016,104,"Action,Adventure,Comedy",5.7,19341
The Murder of the Monster,2024,NA,"Drama,Thriller",7.9,17
Monster High: 13 Wishes,2013,73,Animation,7,1423
Attenborough and the Jurassic Sea Monster,2024,53,Documentary,7.3,30
Monster Island,2021,69,"Action,Fantasy,Sci-Fi",4,14
Tummy Monster,2024,88,Thriller,8.5,24
The Lord of the Monsters,2024,93,Action,6.9,52
Bloody Monster,2013,112,Horror,3.8,38
Seven Heroes Beat the Monster,2024,89,Action,6.8,51
Moshi Monsters: The Movie,2013,81,"Adventure,Animation,Comedy",3.2,682
Monster Machine,2013,NA,"Comedy,Horror,Short",6.9,54
We Are Monster,2014,89,Drama,4.9,622
A Monster Calls,2016,108,"Adventure,Drama,Family",7.4,95065
Ultraman Ginga: Theater Special Ultra Monster Hero Battle Royal!,2014,51,Action,6.5,23
Kids vs Monsters,2015,101,"Comedy,Fantasy,Horror",3.3,184
"Monster High: Frights, Camera, Action!",2014,73,Animation,6.7,1069
Monster,2014,113,"Action,Drama,Thriller",6.4,1778
"Monster High: Scaris, City of Frights",2013,61,Animation,6.9,884
Closet Monster,2015,90,"Drama,Fantasy,Mystery",7,9341
Gehara: The Dark & Long Hair Monster,2009,NA,"Comedy,Horror,Sci-Fi",6.9,77
Godzilla: King of the Monsters,2019,132,"Action,Adventure,Fantasy",6,214385
The Monster,2015,59,"Drama,Mystery",2.5,210
Age Of Monster,2015,97,Comedy,4.7,221
Monster Hunt,2015,117,"Adventure,Comedy,Fantasy",6.1,5764
Monster of the Nudist Colony,2013,79,Comedy,4.9,111
Monster High: Freaky Fusion,2014,73,"Animation,Comedy,Family",6.7,1056
Young Frankenstein: It's Alive! Creating a Monster Classic,2008,31,"Documentary,Short",7.7,24
Monster Beach,2014,73,"Adventure,Animation,Comedy",7.1,53
Monster of Party Beach,2014,NA,Comedy,8.2,10
"Hey Monster, Hands Off My City",2014,84,"Comedy,Crime,Horror",8.5,14
Monster Summer,2024,97,"Adventure,Horror,Mystery",6.1,494
Monster High: Scaremester Collection,2014,47,Animation,8,73
The Monster,2016,91,"Drama,Fantasy,Horror",5.4,19735
We Monsters,2015,95,"Crime,Drama,Thriller",6.4,413
Monster Madness: The Golden Age of the Horror Film,2014,79,Documentary,6.5,110
"Monster Madness: Mutants, Space Invaders and Drive-Ins",2014,96,Documentary,6.6,60
Chet Zar: I Like to Paint Monsters,2015,80,"Biography,Documentary,Thriller",9.1,44
Monster High: Haunted,2015,75,"Animation,Family",6.4,1077
"Metallica: Live Tushino Airfield, Moscow 28 Sept 1991 - Monsters of Rock Festival",1991,81,Music,8.9,23
Scooby-Doo! Moon Monster Madness,2015,80,"Adventure,Animation,Comedy",6.4,2145
Lee Evans: Monsters,2014,131,"Comedy,Documentary",7.5,606
Monsters of Carnage,2013,68,Horror,5,22
Breaking a Monster,2015,92,"Biography,Documentary,Drama",6.1,307
Sick Sock Monsters from Outer Space,2015,82,"Animation,Comedy,Horror",6.2,59
Justice League: Gods and Monsters,2015,76,"Action,Adventure,Animation",7,17109
Impossible Monsters,2019,84,Thriller,4.1,5912
Creating a Monster: The Making of Wolf Creek 2,2014,52,Documentary,7.4,10
R.L. Stine's Monsterville: Cabinet of Souls,2015,86,"Comedy,Fantasy,Horror",5.6,2471
Monsters Among Men,2017,96,"Action,Horror,Thriller",5.1,30
Moor-Monster!,2014,119,"Comedy,Horror",6.6,21
Ted Sieger's Molly Monster - Der Kinofilm,2016,72,"Adventure,Animation,Fantasy",5.9,131
Monster: The Prehistoric Project,2015,79,"Horror,Sci-Fi",1.4,172
The Monster Project,2017,99,"Horror,Mystery,Thriller",4.5,3665
Monster Madness: The Gothic Revival of Horror,2015,90,Documentary,6.4,63
A Monster with a Thousand Heads,2015,74,"Drama,Thriller",6.5,1177
Mail Order Monster,2018,89,"Drama,Family,Sci-Fi",4.7,644
Batman Unlimited: Monster Mayhem,2015,81,"Action,Adventure,Animation",5.6,3195
Meet Beau Dick: Maker of Monsters,2017,92,Documentary,8.6,28
Minerva Monster,2015,54,Documentary,5.4,139
"Monster High: Boo York, Boo York",2015,71,"Animation,Family,Fantasy",6.8,1362
Monster Madness: The Counter Culture to Blockbusters,2015,90,Documentary,7.2,19
Ninja the Monster,2015,81,"Action,Adventure,Drama",5.1,460
A Babysitter's Guide to Monster Hunting,2020,98,"Comedy,Family,Fantasy",5.4,4997
"Jack Pierce, the Maker of Monsters",2015,82,Documentary,6.4,24
The Monster of Mangatiti,2015,70,"Biography,Crime,Documentary",6.2,827
Monsterz,2015,60,Music,8.3,23
Killer Camera Monsters,2020,86,"Horror,Thriller",2.5,141
Monsters at Large,2018,91,Family,5.1,533
"American Monsters: Werewolves, Wildmen and Sea Creatures",2015,60,Documentary,5,30
Other Monsters,2022,93,"Crime,Thriller",4.1,121
Badass Monster Killer,2015,96,"Action,Comedy,Horror",4.7,137
Monsters,2015,87,Horror,4.2,12
Party Monsters,2015,NA,"Comedy,Drama,Horror",7.8,13
Farmers Insurance: Monster Foot,2015,1,"Comedy,Short",8.2,24
Monster High: Great Scarrier Reef,2016,71,"Animation,Fantasy",6,734
Mystery of Faceless Man: History of Monster,2016,65,Horror,1.2,35
Monsterland,2016,108,"Comedy,Fantasy,Horror",4.7,644
Trailer Trauma 2: Drive-in Monsterama,2016,203,Horror,7.3,52
Boggy Creek Monster,2016,73,Documentary,5.8,232
They Call Us Monsters,2016,82,Documentary,7,672
Attack of Monster,2016,67,"Comedy,Drama,Horror",1.6,30
Monster High: Welcome to Monster High,2016,73,"Animation,Fantasy",5.5,809
Godzilla: Planet of the Monsters,2017,89,"Action,Adventure,Animation",6,9814
Monster Movie Night,2012,NA,"Crime,Drama,Horror",9.5,23
Hide the Monster,2016,79,Horror,4.7,336
Monsters,2017,108,"Action,Adventure,Drama",3.1,247
Monster Hunt 2,2018,110,"Adventure,Comedy,Fantasy",5.4,2081
Hulk: Where Monsters Dwell,2016,75,"Action,Animation,Fantasy",5.4,1485
Monster Pool: Chapter Two,2016,97,Horror,5.1,43
Monster Strike the Movie,2016,105,Animation,4.5,47
Monster Force Zero,2019,84,"Comedy,Sci-Fi",3.6,236
Little & Big Monsters,2009,45,"Animation,Family",1.2,275
Monster Island,2017,80,"Adventure,Animation,Comedy",4.8,844
American Monster,2017,NA,Documentary,8.3,12
Ghosts Vs.Monsters,2017,106,Comedy,8.6,20
Monsters of Man,2020,131,"Action,Sci-Fi,Thriller",5.4,8391
Monster Hunter,2020,103,"Action,Adventure,Fantasy",5.2,69574
Monster X,2017,70,Horror,3.5,457
A Brilliant Monster,2018,86,Horror,2.9,153
Monster High: Electrified,2017,71,"Animation,Fantasy",5.6,427
Monster Party,2018,89,"Horror,Thriller",5.5,4808
Monster Family,2017,93,"Animation,Comedy,Family",4.8,5549
Mon Mon Mon Monsters,2017,113,"Comedy,Drama,Horror",6.3,1750
"Real Monsters, Creatures, Ghosts and Demons from Hell",2017,180,Documentary,4.9,10
The Monster Inside Me,2022,147,Documentary,9.2,66
Lake Michigan Monster,2018,78,"Action,Adventure,Comedy",6.2,970
Mother Monster,2013,NA,Crime,8,12
Monster,2018,90,Horror,5.3,197
My Little Monster,2018,105,"Comedy,Drama,Romance",5.9,830
Sea Monsters,2017,72,Animation,6,82
Johnny in Monsterland,1990,120,Horror,7.4,14
"Alien Creatures from Beyond: Monsters, Ghosts and Vampires",2015,75,Mystery,5.3,14
Reel Monsters,2022,75,"Comedy,Family,Fantasy",3,124
Battle of the Monster Trucks,2008,46,Adventure,8.8,12
Book of Monsters,2018,84,"Action,Comedy,Horror",4.7,2325
Bad Monsters,2018,66,"Animation,Comedy,Horror",6.2,23
Interviewing Monsters and Bigfoot,2019,109,Comedy,3.2,223
The Horrific Evil Monsters,2021,70,"Action,Comedy,Horror",2.5,734
Little Monsters,2019,93,"Comedy,Horror,Sci-Fi",6.3,19895
Little Monster,2018,73,Horror,6.2,19
Moor-Monster 2,2017,158,"Action,Comedy,Horror",6.3,17
Monster Pool: Seven Deadly Sins,2017,93,Horror,5.3,86
Sea Monsters 2,2018,106,Animation,5.8,77
Monsterland 2,2019,73,Horror,4.2,2170
John Lewis: Moz the Monster,2017,2,Short,5.7,31
Myra: The Making of a Monster,2003,72,"Biography,Crime,Documentary",6.5,12
Monsters and Men,2018,96,"Crime,Drama,Thriller",6.1,2759
Home with a View of the Monster,2019,97,"Drama,Horror,Mystery",4.2,506
A Monster Calls: Making of the Tales,2017,8,"Animation,Documentary,Fantasy",7.9,31
The Flatwoods Monster: A Legacy of Fear,2018,45,Documentary,6,125
Inside Monster House,2006,25,"Documentary,Short",7.9,18
Monster,2019,81,"Crime,Drama",7.7,15
Making Monsters,2019,82,"Horror,Thriller",5.5,737
M.O.M. Mothers of Monsters,2020,98,"Drama,Horror,Thriller",5.8,2414
Monsters,2018,97,"Drama,Thriller",8.8,18
"Murder Me, Monster",2018,109,"Drama,Horror,Thriller",5.5,1095
Kill the Monsters,2018,77,"Comedy,Drama",5.2,161
Phil Tippett: Mad Dreams and Monsters,2019,80,"Biography,Documentary",7.2,367
The Monsters Without,2021,89,"Adventure,Fantasy,Sci-Fi",4.9,32
Monster Zone,2020,85,"Adventure,Animation,Family",5.1,1173
Boris Karloff: The Man Behind the Monster,2021,99,"Biography,Documentary",7.6,407
Mechanical Monsters,2018,59,"Documentary,History",5.8,21
Monsters.,2019,116,"Drama,Romance",6.3,648
Big Fat Monster,2018,2,"Comedy,Short",7.3,16
No Such Thing As Monsters,2019,89,Horror,4,572
Fallen Kingdom: Monster in a Mansion,2018,3,"Documentary,Short",6.3,13
Monster,2019,139,"Comedy,Drama,Family",6.7,2836
Monster Strike The Movie: Sora no Kanata,2018,97,"Action,Animation",3.1,33
Isisleaks: Inside the Monster's Mind,2018,NA,Documentary,7.4,22
Oddbods: Party Monsters,2018,23,Animation,6.7,19
Monster Hunter: Legends of the Guild,2021,58,"Action,Adventure,Animation",5.2,1531
The Doctor's Monster,2020,73,Sci-Fi,2.2,74
"Gigantis, the Fire Monster",1959,78,"Action,Horror,Sci-Fi",4.2,214
Monster,2018,86,"Sci-Fi,Thriller",6,35
Kung Fu Monster,2018,104,"Action,Fantasy",3.9,265
Raiga: The Monster from the Deep Sea,2009,80,"Action,Fantasy,Sci-Fi",4.8,112
Goodbye Monster,2022,99,"Adventure,Animation,Comedy",5.6,277
My Sweet Monster,2021,98,"Adventure,Animation,Family",4.8,518
I Am (Not) a Monster,2019,90,Documentary,5.9,93
Monster,2019,90,Drama,7,525
Monster with a Movie Camera,2018,49,Comedy,7.1,34
