title,year,runtime_minutes,genres,average_rating,num_votes
The Monster,1994,112,"Comedy,Crime,Mystery",7.3,11584
Monster Mash: The Movie,1995,82,"Comedy,Horror,Musical",4,268
Frankenstein's Planet of Monsters!,1995,50,Sci-Fi,5,43
Mystery Monsters,1997,81,"Family,Fantasy,Sci-Fi",4.2,215
Gods and Monsters,1998,105,"Biography,Drama",7.3,33117
Operation 'The Monster',1976,102,Comedy,8.6,1477
The Monster of Camp Sunshine or How I Learned to Stop Worrying and Love Nature,1964,74,"Comedy,Horror",3.9,563
Devil Monster,1946,60,"Adventure,Horror",2.1,296
The Green-Eyed Monster,1919,50,"Action,Adventure,Crime",2.7,30
Freundinnen und andere Monster,1998,89,Comedy,5.7,84
King Monster,1976,87,"Adventure,Family,Sci-Fi",6.1,23
Party Monster,1998,57,"Biography,Documentary",7.2,1790
The Monster of Highgate Ponds,1961,59,"Animation,Family,Fantasy",5.8,144
The Monster,1987,110,Drama,6.7,131
Kraa! The Sea Monster,1998,69,Sci-Fi,3.5,455
Monster in the Garage,1997,NA,"Horror,Sci-Fi",6.3,31
The Sex Monster,1999,97,Comedy,5.1,2945
Friendly Monsters of the Deep,1977,97,Documentary,7.3,10
I Married a Monster,1998,90,"Horror,Sci-Fi",4.2,248
The Monster,1999,NA,NA,5,63
"Aliens, Dragons, Monsters and Me",1983,60,Documentary,7.9,26
Teenage U.F.O. Rock 'n' Roll Monster Show,1993,120,Documentary,6.8,14
Monsters & Maniacs,1988,110,"Comedy,Drama,Fantasy",5.4,30
I Was a 'Doctor Who' Monster,1996,55,"Documentary,Sci-Fi",6.6,36
Matthew Blackheart: Monster Smasher,2002,94,"Action,Comedy,Horror",4.6,254
The Monster of Florence,1986,103,"Crime,Mystery,Thriller",5.1,298
Blood Beast of Monster Mountain,1975,76,Horror,3.5,72
An American Tail: The Mystery of the Night Monster,1999,78,"Adventure,Animation,Family",5.7,1444
Godzilla: King of the Monsters!,1956,80,"Action,Horror,Sci-Fi",6.3,9045
"Monsters, Inc.",2001,92,"Adventure,Animation,Comedy",8.1,1001897
Yokai Monsters: 100 Monsters,1968,79,Horror,6.5,1024
Attack of the Super Monsters,1982,83,"Animation,Drama,Sci-Fi",4,326
Yokai Monsters: Along with Ghosts,1969,78,"Action,Horror,Mystery",6.3,481
The Green Monster,1999,NA,"Biography,Documentary",7.8,15
That Little Monster,1994,56,"Adventure,Comedy,Crime",5.4,233
Ultraman: Monster Big Battle,1979,100,"Action,Fantasy,Sci-Fi",6.6,46
The Monsters of Babaloo,1970,100,Comedy,6.8,79
Monster!,1999,95,"Horror,Sci-Fi",5,550
Monster Heaven: Ghost Hero,1990,75,NA,5.8,65
Attack of the Bat Monsters,1999,92,Comedy,7.7,79
Marley's Revenge: The Monster Movie,1989,83,"Comedy,Horror",5.2,50
My Lovely Monster,1991,84,"Comedy,Horror",5.3,20
Manbeast! Myth or Monster?,1978,62,"Documentary,Mystery",6.4,40
Monster Mash,2000,64,"Animation,Comedy,Family",6.1,161
Monster of Frankenstein,1981,98,"Animation,Drama,Family",6.1,249
Terror of Prehistoric Bloody Monster from Space,1998,81,"Comedy,Horror,Sci-Fi",5.3,69
"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack",2001,105,"Action,Adventure,Drama",7,7355
How to Make a Monster,2001,91,"Horror,Sci-Fi,Thriller",4.5,1895
The Mini-Monsters: Adventures at Camp Mini-Mon,1987,33,"Animation,Comedy,Fantasy",7.4,10
Monster's Ball,2001,111,"Drama,Romance",7,95215
Monster by Moonlight! The Immortal Saga of 'The Wolf Man',1999,33,"Documentary,Horror,Short",6.8,261
