Sex,Condition,Age at 11-months,Age at 17-months,Age at 3 Years,FirstLook_Duration_11mo,Duration_Looking_11mo,FirstLook_Duration_17mo,Duration_Looking_17mo,MCDI_11mo,MCDI_17mo,DVAP_3y,I-Type_Curiosity,D-Type_Curiosity,FirstLook_Duration_11mo_log,Duration_Looking_11mo_log,FirstLook_Duration_17mo_log,Duration_Looking_17mo_log
girl,Unexpected,11.2,17.05,35.16,9966,9966,627,2706,3,44,42,18,14,0.998520883,0.998520883,-0.202732459,0.432327792
girl,Unexpected,12.15,16.19, ,6501,6501,2145,6534,21,31, , , ,0.812980166,0.812980166,0.331427297,0.81517913
boy,Unexpected,11,16.28,34.18,3729,7821,4422,5940,1,9,96,18,13,0.571592383,0.893262286,0.645618738,0.773786445
girl,Unexpected,10.27,15.29,33.07,6831,9843,3498,5610, , ,58,16,15,0.834484285,0.993127485,0.543819805,0.748962861
boy,Unexpected,10.29,16.18,34.15,5049,6864,6831,6831,5,22,98,16,16,0.703205371,0.836577275,0.834484285,0.834484285
boy,Unexpected,11.19,16.22,33.25,5643,6105,1782,3300,1,17,32,20,12,0.75151005,0.785685668,0.2509077,0.51851394
girl,Unexpected,10.17,18.17, ,5280,5280,2574,2937,1,18, , , ,0.722633923,0.722633923,0.410608543,0.467903947
girl,Unexpected,11.9,17.21, ,3234,3234,2838,3531,2,5, , , ,0.509740016,0.509740016,0.453012391,0.547897718
girl,Unexpected,10.15,17.24,30.05,2108,3536,2110,2110,11,29,53,19,16,0.323870607,0.548512256,0.324282455,0.324282455
girl,Unexpected,11.25,18.05, ,3729,3729,2244,4027,31,29, , , ,0.571592383,0.571592383,0.351022853,0.60498163
girl,Unexpected,11.15,17.13,30.19,6204,6204,1089,3828,14,20,123,18,14,0.792671789,0.792671789,0.03702788,0.582971929
girl,Unexpected,11.25,16.13,30.05,5973,5973,594,3828,2,19,44,18,14,0.776192515,0.776192515,-0.226213555,0.582971929
boy,Unexpected,11.04,16.2,29.11,2277,3597,330,1155,13,27,69,20,11,0.357363031,0.555940438,-0.48148606,0.062581984
boy,Unexpected,12.07,17.08, ,5181,5181,4752,4752,16,41, , , ,0.714413592,0.714413592,0.676876432,0.676876432
boy,Unexpected,11.28,16.3,29.17,1617,3597,1156,1156,5,32,23,15,12,0.20871002,0.555940438,0.062957834,0.062957834
boy,Unexpected,11.08,16.28,28.25,7425,9207,1452,4059,5,81,1,16,16,0.870696458,0.964118143,0.161966616,0.608419051
girl,Unexpected,12.14,17.26,27.18,1848,7590,1848,5709,5,20,24,16,17,0.266701967,0.880241776,0.266701967,0.756560043
boy,Unexpected,12.18,17.27,27.22,4488,5742,2310,6501,2,18,75,20,15,0.652052848,0.759063188,0.36361198,0.812980166
